ID,location_name,lat,long
2353304,,11.27755,-5.22688
2353305,,12.5,-0.71667
2353306,"Gounghin,Gounguen,Zetenga,Zétenga",12.06677,-1.42134
2353307,,12.71667,-2.45
2353308,,12.86985,-1.93915
2353309,Zerkoum,12.38333,-2.06667
2353310,,12.23616,-1.95317
2353311,,13.07382,-1.14553
2353312,,11.0,-0.58333
2353313,,12.26667,-3.53333
2353314,,12.26667,-3.48333
2353315,,11.88333,-1.96667
2353316,"Zenin,Zenion,Zénin,Zénion",11.86667,-2.48333
2353317,,12.76667,-2.2
2353318,,11.76667,-1.28333
2353319,"Zamparaga,Zempasgo,Zèmpasgo",12.25,-0.73333
2353320,,12.8,-3.5
2353321,,10.21667,-2.83333
2353322,,11.13333,-0.63333
2353323,,10.96667,-0.88333
2353324,,13.56317,-0.47425
2353325,,12.45,-2.8
2353326,"Zela,Zila,Zéla",12.45774,-1.79665
2353327,"Zakou,Zekounga,Zékounga",12.38967,-1.67532
2353328,,12.25,-0.58333
2353329,"Zekamsougoye,Zekemzougou,Zinkemzougou,Zékamsougoye,Zékèmzougou,Zékémzougou",12.31501,-1.91917
2353330,,13.08212,-1.305
2353331,,12.9067,-4.159
2353332,"Zeguedesse,Zinguedesse,Zinguédéssé,Zéguédessé,Zéguédéssé",12.24661,-1.58402
2353333,"Zeguedesse,Zengresse,Zengressé,Zéguedessé,Zéguédessé",12.2092,-1.3813
2353334,,12.00135,-1.24194
2353335,"Zeguedeghen,Zeguedeguen,Zeguedeguin,Zerederin,Zéguédéguen,Zéguédéguin,Zérédérin",12.95735,-0.45499
2353336,,11.9,-1.45
2353337,"Zeguedegen,Zeguedeguen,Zeguedeguin,Zéguédégen,Zéguédéguen,Zéguédéguin",12.093,-1.97562
2353338,,12.3,-0.53333
2353339,"Zeguedega,Zéguédéga",11.91667,-0.38333
2353340,,13.22338,-1.31584
2353341,"Zegedegen,Zeguedeguen,Zeguedeguin,Zéguédéguen,Zéguédéguin,Zégédégen",12.97368,-1.40604
2353342,"Zegedegen,Zeguedeguen I,Zeguedeguin,Zéguédéguen I,Zéguédéguin,Zégédégen",12.78853,-1.89159
2353343,"Zegedegen,Zeguedeguen II,Zeguedeguin,Zéguédéguen II,Zéguédéguin,Zégédégen",12.79176,-1.73275
2353344,"Zecco,Zécco",11.03333,-0.85
2353345,,10.46667,-5.35
2353346,"Zay,Zaye,Zayé",13.99615,-2.37326
2353347,"Diabere,Diaberé,Zaouara,Zavera,Zawara",11.78333,-2.58333
2353348,,12.08333,-0.25
2353349,,11.5,-1.88333
2353350,"Zarsen,Zarsin,Zarzen",12.11009,-1.31377
2353351,,11.63333,-0.01667
2353352,,11.68333,-0.61667
2353353,,11.16667,-0.01667
2353354,,13.19412,-0.91671
2353355,,12.53333,-2.11667
2353356,,14.68367,-0.89215
2353357,,11.88333,-1.28333
2353358,,11.78333,-1.21667
2353359,,12.73333,-2.75
2353360,,11.71667,-1.1
2353361,,13.06662,-1.53887
2353362,,12.15,-0.28333
2353363,,12.91667,-0.58333
2353364,,12.21667,-0.38333
2353365,,11.85,-2.11667
2353366,,13.01473,-1.20985
2353367,,12.95963,-1.14586
2353368,,12.05,-0.28333
2353369,,12.06667,-0.05
2353370,,13.67062,-2.31358
2353371,Zano,13.34354,-1.6983
2353372,,13.48858,-2.17542
2353373,,13.38232,-2.41761
2353374,,13.03406,-1.31351
2353375,,10.85,-5.28333
2353376,,11.86667,-1.2
2353377,"Zangogho,Zangogo,Zangongho",11.76667,-1.38333
2353378,"Zangendyese,Zangendyésé,Zanghindiesse,Zanghindiéssé,Zanguendiesse,Zanguendiessé,Zanguendyesse,Zanguendyéssé",12.36472,-1.71061
2353379,"Zangelita,Zanguelila,Zanguelita,Zanguélila,Zanguélita,Zangélita",12.94009,-1.46801
2353380,,11.36667,-2.93333
2353381,"Zangbega,Zangbéga",12.58643,-1.31636
2353382,,11.90484,-4.70916
2353383,,10.51667,-5.36667
2353384,,10.4,-5.41667
2353385,"Zanfana,Zanfara",11.75309,-5.0148
2353386,,12.93333,-0.53333
2353387,Zandkom,13.14071,-1.5526
2353388,,10.61667,-5.2
2353389,,10.98333,-3.5
2353390,Zana Mogo,13.75619,-1.69128
2353391,Zana,13.79024,-1.70029
2353392,,11.15,-0.3
2353393,"Zamren,Zamzen,Zamzin",12.20932,-1.94356
2353394,"Zamoe,Zamoé,Zamse,Zamsé,Zamze,Zamzé",12.00246,-1.29199
2353395,"Zamse,Zamsé",13.44859,-1.79485
2353396,"Zamse,Zamsé",12.53333,-0.71667
2353397,,12.36667,-0.36667
2353398,,12.01667,-2.71667
2353399,"Zamnogo,Zamnongho",12.20995,-1.55386
2353400,,14.1572,-2.21884
2353401,,11.7,-1.1
2353402,,11.55,-1.18333
2353403,,13.66367,-2.4785
2353404,"Zame,Zamé",11.08333,-0.56667
2353405,,13.0815,-2.02048
2353406,"Sambo,Zambo,Zambor,Zanbo",10.81062,-2.99475
2353407,,12.73333,-0.56667
2353408,,12.23449,-1.68208
2353409,,11.2,-0.26667
2353410,,11.31667,-0.31667
2353411,,12.6,-2.46667
2353412,,14.829,-0.5187
2353413,,11.58495,-4.72232
2353414,Zam,12.35,-0.81667
2353415,Zam,12.33959,-0.83189
2353416,,11.96667,-1.9
2353417,,11.81667,-1.2
2353418,"Zakuy,Ziakui",12.53333,-3.41667
2353419,,13.0369,-4.1495
2353420,,12.28333,-3.51667
2353421,,12.67512,-1.56179
2353422,"Zaka,Zako",12.03333,-0.15
2353423,"Zaken,Zakin",12.35793,-1.3722
2353424,,12.3,-2.33333
2353425,,12.18333,-2.41667
2353426,,12.31667,-0.51667
2353427,,11.96667,-0.01667
2353428,,11.2,-0.35
2353429,,12.86667,-0.98333
2353430,"Zaghtouli,Zagtouli,Zahotoulgou,Zatahoula,Zatahulgu,Zehotoulo",12.32924,-1.62566
2353431,,12.96548,-1.45688
2353432,"Zagadesen,Zagadessin,Zagadésen,Zagadéssin,Zeguedessen,Zéguédéssen",12.72177,-1.46086
2353433,,12.9206,-1.32066
2353434,,12.13333,-2.66667
2353435,,11.84834,-5.09608
2353436,"XZA,Zabere,Zabre,Zabré,Zabéré",11.1825,-0.63222
2353437,,11.36667,-3.85
2353438,,13.14078,-1.12303
2353439,Zabga,12.85,-0.53333
2353440,,10.56667,-5.36667
2353441,,12.8,-0.93333
2353442,,12.78333,-3.2
2353443,,11.73333,-2.51667
2353444,,11.18333,-0.01667
2353445,"Mantiankui,Yourouna",13.1247,-4.3111
2353446,"Youngo,Youngou",11.11667,-0.58333
2353447,,10.51667,-3.3
2353448,,10.51667,-3.1
2353449,,12.56667,-2.75
2353450,,12.28333,-2.9
2353451,,10.58333,-3.08333
2353452,,10.41667,-3.1
2353453,Youkouka,11.05,-0.5
2353454,,10.75,-5.11667
2353455,,12.21667,-0.05
2353456,,12.66667,-0.25
2353457,,12.38333,-0.1
2353458,"Yougoupele,Yougoupélé,Yougpelse,Yougpelsé",12.04858,-1.55864
2353459,Yougounini,13.27595,-1.64217
2353460,,12.3,-0.71667
2353461,Youga,11.06537,-0.45196
2353462,"Youdoutenga,Yougtenga",12.00289,-1.4148
2353463,"Youbilinga,Youbitenga",12.84423,-1.45141
2353464,,12.71667,-0.95
2353465,"Youbaga,Youbga",12.77323,-1.70144
2353466,"Youba,Yuba",13.66783,-2.37536
2353467,,12.73333,-0.93333
2353468,"You,Yu",13.70167,-2.14101
2353469,,11.95,-1.31667
2353470,,12.71667,-2.08333
2353471,,11.06667,-2.36667
2353472,"Yargo,Yorgo Kosyama,Yorgo-Kossyama",12.30457,-1.50442
2353473,"Dar Salam,Yorgo Dar Salam",12.36146,-1.63909
2353474,,12.0015,-1.35606
2353475,,13.06695,0.1447
2353476,"Yereko,Yoreko,Yoréko,Yéréko",11.23333,-0.55
2353477,,12.6,-3.45
2353478,,14.08778,-2.58305
2353479,"Yoana,Yona",12.1,-3.38333
2353480,Yona,11.96667,-3.38333
2353481,,9.96667,-3.15
2353482,,14.64651,-0.30264
2353483,,10.3,-2.96667
2353484,,10.73333,-3.4
2353485,,10.1,-3.45
2353486,,11.51667,-0.06667
2353487,,9.85,-2.93333
2353488,,10.85,-3.01667
2353489,,13.8072,0.12317
2353490,,12.70503,2.06318
2353491,,13.32911,-0.57536
2353492,,11.76667,1.7
2353493,"Joba,Yoba,ywba,Йоба,یوبا",13.42537,-1.81438
2353494,,12.33333,-0.28333
2353495,,13.73518,-2.17009
2353496,,13.0263,-3.365
2353497,,11.3,-1.0
2353498,,11.25,-0.96667
2353499,,11.05,-3.05
2353500,,12.93333,-0.28333
2353501,,12.71667,-2.75
2353502,"Irim,Yirim",13.25199,-1.7777
2353503,"Yeribou,Yiribou,Yéribou",13.51921,-2.15078
2353504,,12.71362,-1.20893
2353505,,13.30793,-1.89422
2353506,,11.58333,-2.26667
2353507,,12.68333,-2.45
2353508,Yilou,13.01128,-1.54665
2353509,,12.76667,-2.33333
2353510,"Yilartenga,Yilatenga",12.86953,-1.28677
2353511,,12.43333,-0.71667
2353512,,13.24475,-0.95432
2353513,,13.09762,-1.49408
2353514,,14.54058,-1.51893
2353515,,10.55,-5.38333
2353516,"Yetegomde,Yétégomdé,Zetegomde,Zétégomdé",12.95802,-1.95694
2353517,,10.31667,-4.01667
2353518,,12.13606,1.46182
2353519,,12.35222,1.40264
2353520,"Ierifoula,Ierifula,Iérifoula,Jerifoula,Jérifoula,Yerefoula,Yerifoula,Yérifoula,Yéréfoula",10.47796,-3.58353
2353521,,12.41667,-2.68333
2353522,,11.46667,-0.63333
2353523,"Yeregue,Yergue,Yèrgué,Yérègue",14.08045,-2.19112
2353524,,11.2,-3.05
2353526,,11.33333,-3.03333
2353527,,13.0089,-3.4421
2353528,,10.65,-3.01667
